City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,thompson,55.7435,-97.8558,33.96,80,75,8.05,CA,1699731250
1,vila do maio,15.1333,-23.2167,79.59,68,24,12.57,CV,1699731251
2,margaret river,-33.95,115.0667,51.91,77,77,14.16,AU,1699731251
3,strezhevoy,60.7333,77.5889,31.96,98,100,5.99,RU,1699731252
4,san antonio de pale,-1.4014,5.6325,79.36,83,100,10.78,GQ,1699731253
5,puerto natales,-51.7236,-72.4875,48.65,40,75,18.41,CL,1699731254
6,yinchuan,38.4681,106.2731,26.85,15,0,3.06,CN,1699731255
7,fale old settlement,-9.3852,-171.2468,83.5,74,94,7.2,TK,1699731255
8,college,64.8569,-147.8028,15.75,79,100,4.61,US,1699731237
9,belyy yar,53.6039,91.3903,6.69,92,100,0.0,RU,1699731257
10,whitehorse,60.7161,-135.0538,30.97,92,75,12.66,CA,1699731258
11,peace river,56.2501,-117.286,44.91,56,75,10.36,CA,1699731259
12,sisimiut,66.9395,-53.6735,20.84,92,100,11.86,GL,1699731260
13,hanceville,34.0607,-86.7675,62.51,81,100,8.93,US,1699731155
14,mount pearl,47.5166,-52.7813,38.14,92,100,19.57,CA,1699731261
15,hazleton,40.9584,-75.9746,48.99,57,100,5.75,US,1699730797
16,callao,-12.0667,-77.15,73.69,60,20,14.97,PE,1699731046
17,ulanhot,46.0833,122.0833,14.59,69,11,6.44,CN,1699731264
18,petropavlovsk-kamchatsky,53.0452,158.6483,34.39,98,75,13.42,RU,1699731264
19,sao jose da coroa grande,-8.8978,-35.1478,79.63,66,52,11.23,BR,1699731098
20,luderitz,-26.6481,15.1594,65.01,60,0,23.76,NA,1699731266
21,adamstown,-25.066,-130.1015,73.04,82,48,13.44,PN,1699731267
22,hermanus,-34.4187,19.2345,60.3,85,33,10.42,ZA,1699731268
23,the pas,53.8251,-101.2541,35.62,75,0,19.57,CA,1699731268
24,khandyga,62.6667,135.6,-12.95,96,100,4.12,RU,1699731269
25,puerto gaitan,4.3133,-72.0816,87.35,65,92,6.8,CO,1699731270
